95149,2016-1-31 16:37,M,10
64969,2016-1-31 17:02,M,23
103840,2016-1-31 17:03,F,36
103840,2016-1-31 17:06,F,515
64969,2016-1-31 17:09,M,87
102903,2016-1-31 17:26,M,44
102903,2016-1-31 17:27,M,164
102903,2016-1-31 17:30,M,30
102903,2016-1-31 17:34,M,194
81510,2016-1-31 21:32,M,6
81510,2016-1-31 21:40,M,34
81510,2016-1-31 21:41,M,76
93620,2016-1-31 22:23,F,949
97078,2016-1-31 22:35,M,594
93620,2016-1-31 22:39,F,464
93620,2016-1-31 22:47,F,25
97250,2016-1-31 23:32,M,197
101897,2016-1-31 23:32,M,50
101897,2016-1-31 23:34,M,310
103795,2016-1-31 23:39,M,1010
99406,2016-2-1 0:58,M,65
99406,2016-2-1 0:59,M,255
99406,2016-2-1 1:07,M,47
101382,2016-2-1 2:10,F,147
101382,2016-2-1 2:13,F,860
98796,2016-2-1 2:25,M,8
103449,2016-2-1 4:06,M,441
103449,2016-2-1 4:13,M,654
99069,2016-2-1 6:17,M,319
103512,2016-2-1 8:11,M,138
104088,2016-2-1 9:00,M,130
104092,2016-2-1 9:03,M,1578
104088,2016-2-1 9:50,M,223
96675,2016-2-1 10:01,M,252
96675,2016-2-1 10:06,M,1181
99500,2016-2-1 10:40,M,17
99500,2016-2-1 10:42,M,14
99500,2016-2-1 11:21,M,13
94435,2016-2-1 11:25,M,10
94435,2016-2-1 11:26,M,2565
99500,2016-2-1 12:06,M,782
102446,2016-2-1 13:23,M,85
104148,2016-2-1 14:08,M,54
91624,2016-2-1 14:11,F,1538
91624,2016-2-1 14:36,F,131
91624,2016-2-1 14:39,F,1287
96062,2016-2-1 14:40,F,333
69970,2016-2-1 15:04,M,34
69970,2016-2-1 15:05,M,24
104148,2016-2-1 15:08,M,648
104148,2016-2-1 15:21,M,279
104148,2016-2-1 15:25,M,281
104171,2016-2-1 15:48,M,72
104114,2016-2-1 15:59,F,71
98576,2016-2-1 16:12,M,78
98746,2016-2-1 16:12,F,1318
98576,2016-2-1 16:14,M,17
81191,2016-2-1 16:49,M,2260
104187,2016-2-1 16:59,M,56
104188,2016-2-1 17:00,M,65
104088,2016-2-1 17:31,M,1132
101382,2016-2-1 17:46,F,310
4280,2016-2-1 18:06,M,26
4280,2016-2-1 18:29,M,145
102035,2016-2-1 18:32,M,150
4280,2016-2-1 18:33,M,47
4280,2016-2-1 18:35,M,92
4280,2016-2-1 18:39,M,61
4280,2016-2-1 18:40,M,49
4280,2016-2-1 18:41,M,15
4280,2016-2-1 18:42,M,871
103781,2016-2-1 19:43,M,169
100366,2016-2-1 20:08,M,22
104231,2016-2-1 21:02,M,63
98164,2016-2-1 21:52,M,111
103200,2016-2-1 22:10,M,11
104187,2016-2-1 22:11,M,2024
103200,2016-2-1 22:13,M,11
101897,2016-2-1 22:14,M,45
101897,2016-2-1 22:16,M,501
103200,2016-2-1 22:18,M,46
104262,2016-2-1 22:43,M,10
104262,2016-2-1 22:44,M,484
104187,2016-2-1 22:45,M,2866
84318,2016-2-1 22:45,M,518
104269,2016-2-1 23:22,F,302
104312,2016-2-2 0:43,F,20
104312,2016-2-2 0:43,F,32
104312,2016-2-2 0:51,F,129
98419,2016-2-2 0:53,F,1875
103807,2016-2-2 1:48,M,78
104148,2016-2-2 2:45,M,97
83455,2016-2-2 3:43,F,102
83455,2016-2-2 3:45,F,110
83455,2016-2-2 3:47,F,16
83455,2016-2-2 3:47,F,527
98796,2016-2-2 8:14,M,850
83455,2016-2-2 8:46,F,683
83455,2016-2-2 8:57,F,259
83455,2016-2-2 9:01,F,315
83455,2016-2-2 9:07,F,531
102035,2016-2-2 10:20,M,235
102035,2016-2-2 10:25,M,92
102035,2016-2-2 10:26,M,271
102035,2016-2-2 10:31,M,97
102035,2016-2-2 10:33,M,106
26873,2016-2-2 12:01,F,20
26873,2016-2-2 12:02,F,32
26873,2016-2-2 12:04,F,205
26873,2016-2-2 12:08,F,4656
103419,2016-2-2 12:29,M,68
99500,2016-2-2 12:38,M,7
89936,2016-2-2 13:24,M,806
26873,2016-2-2 13:25,F,92
26873,2016-2-2 13:27,F,17
26873,2016-2-2 13:28,F,15
26873,2016-2-2 13:29,F,97
89936,2016-2-2 13:38,M,366
103215,2016-2-2 13:40,F,232
26873,2016-2-2 13:43,F,40
