97250,97931,M,M,1454255683,1454255732
97250,97931,M,M,1454255757,1454255789
97250,97931,M,M,1454255841,1454255911
97250,97931,M,M,1454255930,1454255939
97931,97250,M,M,1454255842,1454255857
99406,96258,M,F,1454255511,1454256096
99406,96258,M,F,1454256136,1454256141
99406,96258,M,F,1454256452,1454256456
99406,96258,M,F,1454256201,1454256351
99406,96258,M,F,1454256352,1454256452
97250,97931,M,M,1454256018,1454256798
19670,26873,F,F,1454061055,1454062255
19670,104111,F,F,1454297202,1454297216
104138,78176,F,M,1454303828,1454303843
104238,49416,F,M,1454340946,1454340968
104238,49416,F,M,1454341030,1454342704
26873,19670,F,F,1454061055,1454062255
102674,102686,M,F,1454397350,1454397430
102674,102686,M,F,1454397431,1454397464
102686,102674,F,M,1454397350,1454397465
102470,102662,F,M,1454409430,1454409484
102662,102470,M,F,1454409438,1454409492
93698,13828,F,M,1454430159,
93698,13828,F,M,1454430324,
93698,13828,F,M,1454430457,
89422,86843,F,M,1454432584,1454433200
96258,82253,F,M,1454434125,
82253,96258,M,,1454434212,
96258,82253,F,M,1454434215,
96258,82253,F,M,1454434434,
96258,82253,F,M,1454434449,
100203,81315,M,F,1454433430,1454433470
96258,82253,F,M,1454435331,
96258,82253,F,M,1454435423,
96258,82253,F,M,1454435585,
82253,96258,M,,1454435581,
96258,82253,F,M,1454438028,
81510,81515,M,F,1454454646,1454454815
81510,81515,M,F,1454454831,1454455081
81510,81515,M,F,1454455082,1454455412
81510,81515,M,F,1454455418,1454457712
81510,81515,M,F,1454455414,1454456614
102418,78176,F,M,1454473490,1454473560
102418,78176,F,M,1454473716,1454473776
102418,78176,F,M,1454474422,1454474445
102418,78176,F,M,1454474668,1454474681
102418,78176,F,M,1454474849,1454475070
64969,104778,M,,1454500783,
104778,64969,F,M,1454500634,
64969,102363,M,,1454501111,
64969,102363,M,,1454501553,
104653,64969,F,M,1454501568,
64969,104653,M,,1454501719,
104653,64969,F,M,1454501821,
64969,104653,M,,1454501971,
104477,64969,F,M,1454502474,
64969,104477,M,,1454502624,
102363,64969,F,M,1454500964,
104477,64969,F,M,1454502517,
64969,104477,M,,1454502667,
102363,64969,F,M,1454501406,
101810,98419,M,F,1454517278,1454517308
